2025-07-17 21:45:50.199 | ERROR    | core.object_detector:recognize_faces:215 - Face recognition failed: No module named 'face_recognition'
2025-07-17 21:45:50.199 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: '<' not supported between instances of 'AudioMessage' and 'AudioMessage'
2025-07-17 21:45:50.470 | ERROR    | core.object_detector:recognize_faces:215 - Face recognition failed: No module named 'face_recognition'
2025-07-17 21:45:50.477 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: '<' not supported between instances of 'AudioMessage' and 'AudioMessage'
2025-07-17 21:45:50.754 | ERROR    | core.object_detector:recognize_faces:215 - Face recognition failed: No module named 'face_recognition'
2025-07-17 21:45:50.754 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: '<' not supported between instances of 'AudioMessage' and 'AudioMessage'
2025-07-17 21:45:51.028 | ERROR    | core.object_detector:recognize_faces:215 - Face recognition failed: No module named 'face_recognition'
2025-07-17 21:45:51.028 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: '<' not supported between instances of 'AudioMessage' and 'AudioMessage'
2025-07-17 21:45:51.308 | ERROR    | core.object_detector:recognize_faces:215 - Face recognition failed: No module named 'face_recognition'
2025-07-17 21:45:51.308 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: '<' not supported between instances of 'AudioMessage' and 'AudioMessage'
2025-07-17 21:45:51.590 | ERROR    | core.object_detector:recognize_faces:215 - Face recognition failed: No module named 'face_recognition'
2025-07-17 21:45:51.590 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: '<' not supported between instances of 'AudioMessage' and 'AudioMessage'
2025-07-17 21:45:51.861 | ERROR    | core.object_detector:recognize_faces:215 - Face recognition failed: No module named 'face_recognition'
2025-07-17 21:45:51.861 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: '<' not supported between instances of 'AudioMessage' and 'AudioMessage'
2025-07-17 21:45:52.135 | ERROR    | core.object_detector:recognize_faces:215 - Face recognition failed: No module named 'face_recognition'
2025-07-17 21:45:52.135 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: '<' not supported between instances of 'AudioMessage' and 'AudioMessage'
